,Name,Play Number,QB Comment,Series,Down,Distance,Field Position,Gain,Personnel,The_Play,Formation,Motion,Play,Run Concept,Pass Concept,R/P,Pass Result,QB#,J#,EFF
712,"23 10 TNMS D @ NCCR 11-11-2023, Play 001",1,INTERCEPTION,1,0,10,-19,0,21,DEUCE RT SLOT BEETLE CUT Y-POP GOAT,DEUCE,AC-Y,LION OLY,BEETLE-SPIDER CUT,HITCH-X,P,I,11,19,N
713,"23 10 TNMS D @ NCCR 11-11-2023, Play 002",2,INTERCEPTION,1,2,10,-19,1,12,YAC TRAIN LT BILLY S. TRUCK,TRAIN,AC-Y,LION OLY,TRUCK,HITCH-X,R,C,11,21,N
714,"23 10 TNMS D @ NCCR 11-11-2023, Play 003",3,INTERCEPTION,1,3,9,-20,4.900277008310249,11,YAHTZEE TROLLY RT JILL STAY Y-SLANT SLICK X-DIG,TROLLY,YAHTZEE,LION OLY,BEETLE-SPIDER,SLANT-Y SLICK DIG-X,P,INT,11,10,N
715,"23 10 TNMS D @ NCCR 11-11-2023, Play 004",4,PUNT,2,0,10,-40,4.900277008310249,12,FIB TRAIN RT BILLY Z-TOPGUN BEETLE H-POP X-STICK,TRAIN,TOPGUN-Z,LION OLY,BEETLE-SPIDER,STICK-X,P,C,11,3,Y
716,"23 10 TNMS D @ NCCR 11-11-2023, Play 005",5,PUNT,2,1,20,-30,0,11,Z-TANGO RT A R-HOME BEETLE WALL,TANGO,AC-Y,LION OLY,BEETLE-SPIDER WALL,HITCH-X,R,C,11,11,N
717,"23 10 TNMS D @ NCCR 11-11-2023, Play 006",6,PUNT,2,2,20,-30,0,11,ZAC DUAL RT NASTY N. LA GRONK GOAT,DUAL,AC-Z,LION OLY,BEETLE-SPIDER,GRONK,P,I,11,18,N
718,"23 10 TNMS D @ NCCR 11-11-2023, Play 007",7,PUNT,2,3,20,-30,-4,11,YAC DOLPHIN RT LOAD Z-BULLS,DOLPHIN,AC-Y,LION OLY,BEETLE-SPIDER,HITCH-X,P,C,11,19,N
719,"23 10 TNMS D @ NCCR 11-11-2023, Play 008",8,PUNT,3,0,10,-20,5,11,DON RT Z-HOME IRON Z-COVER,DON,HOME-Z,LION OLY,IRON-STEEL COVER BOSS,HITCH-X,R,C,4,10,Y
720,"23 10 TNMS D @ NCCR 11-11-2023, Play 009",9,PUNT,3,2,5,-25,0,11,TROLLY LT Y-PLANE BEETLE SLIP X-CRACK,TROLLY,AC-Y,LION OLY,BEETLE-SPIDER SLIP,HITCH-X,R,C,4,26,N
721,"23 10 TNMS D @ NCCR 11-11-2023, Play 010",10,PUNT,3,3,5,-25,0,11,Y-SHIFT DUAL RT QK JACK SPACING SLAY,DUAL,SHIFT-Y,LION OLY,BEETLE-SPIDER,SPACING SLAY,P,I,4,83,N
722,"23 10 TNMS D @ NCCR 11-11-2023, Play 011",11,FIELD GOAL,4,0,10,25,3,12,FIB FLANK LT Z-JET LEECH SLIP,FLANK,JET-Z,LION OLY,ROACH-LEECH SLICE,HITCH-X,R,C,4,4,N
723,"23 10 TNMS D @ NCCR 11-11-2023, Play 012",12,FIELD GOAL,4,2,7,22,4,12,YAHOO TRAIN LT BILLY SPIDER X-HITCH,TRAIN,YAHOO,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,4,4,Y
724,"23 10 TNMS D @ NCCR 11-11-2023, Play 013",13,FIELD GOAL,4,3,3,18,-4,21,YAHOO FAR RT OX SQUEEZE BEETLE STREET COKE,FAR,YAHOO,LION OLY,BEETLE-SPIDER,HITCH-X,R,C,4,4,N
725,"23 10 TNMS D @ NCCR 11-11-2023, Play 014",14,TOUCHDOWN,5,0,10,-21,4,21,FIB THIEF LT BILLY Z-TOPGUN LEECH CUT X-STICK,THIEF,TOPGUN-Z,LION OLY,ROACH-LEECH CUT,STICK-X,P,C,11,3,Y
726,"23 10 TNMS D @ NCCR 11-11-2023, Play 015",15,TOUCHDOWN,5,2,6,-25,7,21,DEUCE RT SLOT ROACH GOAT,DEUCE,AC-Y,LION OLY,ROACH-LEECH,HITCH-X,R,C,11,38,Y
727,"23 10 TNMS D @ NCCR 11-11-2023, Play 016",16,TOUCHDOWN,5,1,10,-32,4,11,Z-TANGO RT ROACH MAN CHOP,TANGO,AC-Y,LION OLY,ROACH-LEECH MAN,CHOP,R,C,11,38,Y
728,"23 10 TNMS D @ NCCR 11-11-2023, Play 017",17,TOUCHDOWN,5,2,6,-36,0,12,YAHOO FLANK RT CLASSY QK JACK SPACING STICK,FLANK,YAHOO,LION OLY,BEETLE-SPIDER,SPACING STICK,P,I,11,86,N
729,"23 10 TNMS D @ NCCR 11-11-2023, Play 018",18,TOUCHDOWN,5,3,6,-36,15,12,ZAC DUAL RT CLASSY F-JACK H-PUNCH GIFT,DUAL,AC-Z,LION OLY,BEETLE-SPIDER,PUNCH-H GIFT,P,I,11,18,Y
730,"23 10 TNMS D @ NCCR 11-11-2023, Play 019",19,TOUCHDOWN,5,1,10,49,5,12,TRAIN LT BILLY SPIDER X-HITCH,TRAIN,AC-Y,LION OLY,BEETLE-SPIDER,HITCH-X,P,C,11,83,Y
731,"23 10 TNMS D @ NCCR 11-11-2023, Play 020",20,TOUCHDOWN,5,2,5,44,0,12,HOPPY DEUCE RT SLOT BEETLE CUT Y-POP GOAT,DEUCE,HOPPY,LION OLY,BEETLE-SPIDER CUT,HITCH-X,P,I,11,81,N
732,"23 10 TNMS D @ NCCR 11-11-2023, Play 021",21,TOUCHDOWN,5,3,5,44,40,12,H-TANGO RT SQUEEZE A R-HOME JACK STAY Y-MESH,TANGO,AC-Y,LION OLY,BEETLE-SPIDER,MESH-Y,P,C,11,18,Y
