Name,Play Number,QB Comment,Series,Down,Distance,Field Position,Gain,Personnel,The_Play,Formation,Motion,Play,Run Concept,Pass Concept,R/P,Pass Result,QB#,J#,EFF
"01 NCCR OFF vs. MDUN (09/09/23), Play 001",1,TOUCHDOWN,1,0,10,-25,4,11,TRAIN LT OX FLASH AKRON EDGE,TRAIN,,AKRON EDGE,CLEVELAND-AKRON EDGE,,R,,4,4,Y
"01 NCCR OFF vs. MDUN (09/09/23), Play 002",2,TOUCHDOWN,1,2,6,-29,6,23,(P) FIB Z-TANGO LT BILLY S. CINCY EDGE Z-BOSS,TANGO,,S. CINCY EDGE Z-BOSS,CINCY EDGE BOSS,,R,,4,1,Y
"01 NCCR OFF vs. MDUN (09/09/23), Play 003",3,TOUCHDOWN,1,1,10,-35,9,21,TROUBLE LT H-IN S. PITT COVER Z-CRACK,TROUBLE,IN-H,S. PITT COVER Z-CRACK,PITT COVER,,R,,4,0,Y
"01 NCCR OFF vs. MDUN (09/09/23), Play 004",4,TOUCHDOWN,1,2,1,-44,8,21,NINER THURSDAY (CK. BEETLE FOLLOW),TRAIN,,BEETLE FOLLOW,BEETLE-SPIDER FOLLOW,,R,,4,4,Y
"01 NCCR OFF vs. MDUN (09/09/23), Play 005",5,TOUCHDOWN,1,1,10,48,48,21,H-TORCH RT H-IN S. GOLFER SAIL,TORCH,IN-H,S. GOLFER SAIL,,GOLFER SAIL,P,C,4,12,Y
"01 NCCR OFF vs. MDUN (09/09/23), Play 006",6,PUNT,2,0,10,-40,9,12,(U) Y-IN FAR RT NASTY N. CINCY,FAR,IN-Y,N. CINCY,CINCY,,R,,4,1,Y
"01 NCCR OFF vs. MDUN (09/09/23), Play 007",7,PUNT,2,2,1,-49,3,12,TRIPS RT OX BEETLE FOLLOW,TRIPS,,BEETLE FOLLOW,BEETLE-SPIDER FOLLOW,,R,,4,4,Y
"01 NCCR OFF vs. MDUN (09/09/23), Play 008",8,PUNT,2,1,10,48,-1,12,SHUFFLE DEUCE RT SLOT N. CINCY,DEUCE,,N. CINCY,CINCY,,R,,4,1,N
"01 NCCR OFF vs. MDUN (09/09/23), Play 009",9,PUNT,2,2,11,49,0,12,TROLLY LT OX TEQUILA (CK. WOLF BIBLE),TROLLY,,WOLF BIBLE,WOLF-JAGUAR BIBLE,,R,,4,0,N
"01 NCCR OFF vs. MDUN (09/09/23), Play 010",10,PUNT,2,3,11,49,,11,DAFFY LT Y-IN LOAD Y-DELAY STAR,DAFFY,IN-Y,LOAD Y-DELAY STAR,,DELAY-Y STAR,X,,4,,X
